,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,client_id,path,sentence,up_votes,down_votes,age,gender,accents,variant,locale,segment,accents_cleaned,probs
993,5158,5158,5175,67215,8af4a7be1a0bfa1615b0c7085826307a381a110722763a012d84d42fadf075ac222b49a33cbc5d9323f1f97adfdba6c1253f87d765ca7d42965af41abf1816ea,common_voice_en_24981768.mp3,It was called Cibalae in antiquity.,2,0,,,United States English,,en,,usa,0.467988270004379
27571,137361,137361,137527,581782,cb2df1e0d485bf254aff3e5cc718ea84b7071ab44d89e7e2436f791a87165b7ed8aaee943363b5d5a02b77af336f4d68a35da2404adaa684e15ee40c2b03a8c2,common_voice_en_19350487.mp3,The Sycamore was also used in a variety of civilian roles.,2,0,twenties,male,United States English,,en,,usa,0.467988270004379
110970,553293,553293,553953,1347034,febfa9170cb04861bd7edb121a0f2de4c961eaca6afb928a2f541db731ae8242552936c1c3f5a4d2e7f4cc3150d58ff5e6f1b0c99513e25a72ca814f0b36df05,common_voice_en_21101852.mp3,Riley remains married to Sam.,2,0,fifties,female,Irish English,,en,,ireland,0.021774793786728
54341,270923,270923,271207,870913,05d33ad00cc2754da8e542a33a5255f9346535ef1d8619094bbc8c90c53bfad43e930bcb2fa598f614c6c90e173590a673905fb59a1ef581576cd5ccaed57241,common_voice_en_22091042.mp3,There are two road bridges and three car ferries.,2,0,twenties,male,Australian English,,en,,australia,0.0562383584134121
39441,196300,196300,196466,721834,4e19bb205abf753dcb9ebad89cf4892c1e76a37f2b44d7c8e47d0e91b7a83da5a06b1705946a4a43fdcdd04ae9baaec312f4d8b8bf5f724b2dd3229d66c491c8,common_voice_en_19980823.mp3,Later they would return to their native countries to teach what they had learned.,2,0,twenties,male,United States English,,en,,usa,0.467988270004379
123725,616967,616967,617627,1443447,f0ea206776edd98e6ab41801393839be2d3a3508647336452079b21ddc3ed6eafddd8489e7a79cf149c48136862b49b77c412f7721653750f051aa12c2858e0b,common_voice_en_17966197.mp3,"No, my aunt never wanted her to do that.",2,0,thirties,male,England English,,en,,uk,0.1847397710429457
112709,562076,562076,562736,1363349,aa229274711f2b10e408628ffc5e5ae8758bb022f781aa61aa61027168aeb5027656f2fdf8e94e3a5211e4fcfea5b8447938ac0d24c8002b175fa15f589967fa,common_voice_en_22323638.mp3,Naval Operations also played an indirect role in the history of television.,2,0,twenties,female,United States English,,en,,usa,0.467988270004379
23196,115781,115781,115947,528400,743723b9eca7a689454c06c762a502c3eb9c9efd1b4bd594da55c51fdefbcd998ac9394d71315dc6e7cec860954189d84250470d26c9ae0484796d211ef400a6,common_voice_en_25027481.mp3,"Unsatisfied with the low pay, in Kremenchuk Adler led an unsuccessful actors' strike.",2,0,twenties,female,United States English,,en,,usa,0.467988270004379
104402,520740,520740,521400,1301084,e2292237c77b576132df4cdbb79155e854aeff199c96095ab6db95684d8fa140ff1f42fe9cf87b811f15ce8039d6563a304b507926ca4a641d04765a70b79d91,common_voice_en_24036797.mp3,"In excess, the cysteinyl leukotrienes can induce anaphylactic shock.",2,0,thirties,male,United States English,,en,,usa,0.467988270004379
9529,47581,47581,47695,311390,119fb9141a3faae623a109d560382ada6f1aac739bf4f162a7b70e37e81d8fb22c13a34daa52a035302e96ca4e724c3e540b0a55a5ef6ca098ae597372ea1792,common_voice_en_25874978.mp3,Remnants of Goffs's mining days still dot the town.,2,0,thirties,male,United States English,,en,,usa,0.467988270004379
98324,490220,490220,490880,1249248,a22721fa679ec702c9306f00becf645a864dbbe305fe6ff39e01e9fb780ccc8ad7913af19c3f1aebd4211cde70ed4cf17e23154c65125df7bdb3adfe3be7a2bc,common_voice_en_21265059.mp3,"Members of the segregate genera, ""Calicotome"" and ""Lembotropis"" are sometimes included in ""Cytisus"".",2,0,thirties,male,England English,,en,,uk,0.1847397710429457
53702,267446,267446,267730,865134,e7799090a60a707984725fb34b2b4ed1eee202888b6c66b94001984f888df16b77c8d73e8194a983b11c34bd663d2b4544bdc8e911447b3e0ad4cafe44af5aaa,common_voice_en_338.mp3,You're the guy I want to see.,6,0,thirties,male,England English,,en,,uk,0.1847397710429457
80545,401639,401639,402299,1103192,13bc17d3252356a0b6cffb5fd9135bfc0667268274084e02d91a415e026c3e48ccc671490ccf1fbc17804013f25cc3c313087801a7125394c59ebe6ba43b1da9,common_voice_en_29172870.mp3,One feature of Eisai's activity not often noted is his continued eclecticism.,2,0,,,England English,,en,,uk,0.1847397710429457
107543,536242,536242,536902,1321262,ba001b8981452b0f53a34407ce0a848143545733054d1d277437e47644ad871e93614f152ee9e0203a88213f3d2037d6893ff8d15722fff753c9b405d6070a3c,common_voice_en_19774096.mp3,"Talese was sent to Fort Knox, Kentucky, to train in the Tank Corps.",2,0,thirties,male,Canadian English,,en,,canada,0.0746899938847759
117095,583655,583655,584315,1390485,63a4e47b6d3cfd98330c334e868d3c41685834cfec2c5c38865472410ca2fe8e204cf0758be426b09c7785bddf1354610f63dd1d2ef4e4eac6e23e1455235417,common_voice_en_27150993.mp3,The devices were then detonated at the Paterson firing range.,2,0,twenties,female,"India and South Asia (India, Pakistan, Sri Lanka)",,en,,"India and South Asia (India, Pakistan, Sri Lanka)",0.10106588739051
36455,181343,181343,181509,683372,f23850825fe7698fbe986269295f57ce34de7c5b2e9851bb6375d425486945d120dd0ca7cc73215890be23e2709d3dff3b9e8ff66638785184093db450ca88c5,common_voice_en_469499.mp3,Are you all right?,2,0,fourties,male,United States English,,en,,usa,0.467988270004379
68095,339675,339675,340077,997151,b4ab0c7e6f01fd76f4348a3b18c90ff565d57bad273df036c9194a772c142e38748ea216f327b46ffd391ff47203803d08e703f33ebfc9bab720418a44450f12,common_voice_en_18409410.mp3,Please stop complaining all the time!,2,0,thirties,male,United States English,,en,,usa,0.467988270004379
141550,706484,706484,707144,1602178,7eff9a54bdb0619deffda7609d5b8565278e3328de99e63908be2a37c1ad16516240b9c92bc6b68d8130b20dc556f57005dc053f4874a49589f5971a31b97e98,common_voice_en_22795510.mp3,"The borough is bordered by Paramus, Oradell, New Milford, Hackensack and Teaneck.",2,0,sixties,female,United States English,,en,,usa,0.467988270004379
62223,310311,310311,310713,943792,1950c0c96b18c615514bb59b894e5210a18e803dcbca2de8d2785fb4fe96b4e6b9cca98a68a4cafe860ea6bd6a8dac3ef12f5dba2940663d7f79544c447c4446,common_voice_en_20063922.mp3,They weren't my books.,2,0,thirties,male,"India and South Asia (India, Pakistan, Sri Lanka)",,en,,"India and South Asia (India, Pakistan, Sri Lanka)",0.10106588739051
8561,42724,42724,42838,292621,2e116367d6a317ab9f2eb9ff961cd42a9d11bf776a850714c5baf68ed173945854a667a1352e9e8de977f764360162b211d3e8970bd9e63bcb191cd38607b122,common_voice_en_22777853.mp3,The website has been shutdown since.,2,0,thirties,male,United States English,,en,,usa,0.467988270004379
93165,464499,464499,465159,1202109,056861a8563bcd33d2faafb79fa5fd3d4f0daccb7bd2cd9eaa056241f316255c80b54c77844b3770b0d9f86beb31fcdf4fdaeb14550a90174a67542d4d9a47f0,common_voice_en_77376.mp3,As secretary you can hire anyone you like.,2,0,twenties,male,England English,,en,,uk,0.1847397710429457
45894,228252,228252,228418,784954,f45af25512a4bee2a0db4002fc11195797bfd1383aacbeca03d3e8000427b138946a2754282edab923d1d3a5fb997e7d0458882544db40262e495ec2eb0652de,common_voice_en_22236500.mp3,This time is often dedicated to the study of Musar literature.,2,0,twenties,male,England English,,en,,uk,0.1847397710429457
89991,449024,449024,449684,1178677,cae301b389d76bf2203ffb243ae9d80423981d24eee4d167217fad0ac377704a410570107ba23a6aaf26d11345cad96829e2e44d250c537501597638c03d6864,common_voice_en_35008825.mp3,This accumulation of points made Parks the highest all-time points scorer for the club.,4,0,fourties,male,United States English,,en,,usa,0.467988270004379
27139,135214,135214,135380,577112,070b648900bf6e7c2176788790eb4bf1328dd3e3d3fef3bb33cb00deda474383ea2ac4ff93a8a936a4d24d33805b30fc26c6693ac48ab6b6b942f77564c58e54,common_voice_en_20672226.mp3,"Since then, the team plays its home games at the Estadio Universitario in Caracas.",2,0,twenties,male,United States English,,en,,usa,0.467988270004379
49895,248321,248321,248605,827840,a14577cddd217ee6f366191b2561f4effa5dead370e6e4b6ec0257ab03b50c4e62c50112c33a375dcbd2ab92aa078dcfaec09e95a0b3cbd456998fcc48212075,common_voice_en_20704818.mp3,And what sort of end do I have?,2,0,sixties,male,United States English,,en,,usa,0.467988270004379
143939,718566,718566,719226,1615364,a2576ccf04ad8c0dbe2b29f3843c1ed984d8bd91480766f4bf99c933d99ae8d2b32afc34c7e185b06c2b16deae4fbabb8030906be2455973e2d85d92b0afbc6e,common_voice_en_178598.mp3,Kids are watching a man in uniform standing on the grass,2,0,fifties,male,Canadian English,,en,,canada,0.0746899938847759
75362,375827,375827,376487,1060838,f1e639097ee4059ff2717fdf9a0a2d38031fa0b55d5ff4a9249f2f15cebfb7cbe25e7c8e4e8190b70170ac7b25a4b85a351a153905a77a430dde9241f97ac07f,common_voice_en_24640904.mp3,Government is the primary agency that societies utilize to address the free-rider problem.,2,0,,,United States English,,en,,usa,0.467988270004379
113803,567411,567411,568071,1372273,9db071da66e5b08a2abe0685a5f845403656201988e5785b221c48ed1333f97990248c8b62cede0628fac8a77ce4da5f3369ebcbc964bccfa6105243bccacdef,common_voice_en_17246626.mp3,"The door was barred, locked, and bolted as well.",2,0,fifties,male,England English,,en,,uk,0.1847397710429457
113831,567553,567553,568213,1372428,aa308a6660bba7cbeccf02b5d203d0bb01e43d9526e64699e7a05d7fa61950840ee499dbd298f88c874ea183fad157665a2091e3b298ae06bf95a8de9b96618e,common_voice_en_18994746.mp3,Authorities later determined that the purported bomb was actually a covered bottle of liquor.,2,0,fifties,male,United States English,,en,,usa,0.467988270004379
98190,489553,489553,490213,1247751,9db555e24714069bdfaf68dbd96c7115cd8203cf20336f2b240d4523fa12df35a9248232f0ad0ecf0f40b6a8901ca752f64e153d6ca57725ac6635566725c80f,common_voice_en_22400430.mp3,The Sony Walkman can serve as a functional example whose life cycle is well-documented.,2,0,twenties,male,Canadian English,,en,,canada,0.0746899938847759
48268,240059,240059,240225,810269,a256bf0f12c1faf84ec612bf95db127665c9db5eb738952357729bf543f8eded7eb2ab42e740af894872e36a09a2658aa3288c7f9d74c4e8e74c1a8aa28062b0,common_voice_en_3115.mp3,You have no children.,4,0,twenties,male,United States English,,en,,usa,0.467988270004379
63307,316033,316033,316435,955209,d1c0e01c747ca79c6126cd0ca038525997868a4daea7eac6fdbc2fe83a114e16adf8fccd64c674599cce49591d63925828cbd95a0ffb70dc9090ad3022341adb,common_voice_en_28006004.mp3,"It protects upland forest, steep cliff and metavolcanic bedrock outcropping landscapes.",2,0,fifties,,Australian English,,en,,australia,0.0562383584134121
60654,302550,302550,302952,930416,9b668cb44d936ecac1604042d5da5e56375002b7f709e9ef0bfc0b8fb9e0559cd3116294b5f884644605cd68281602eef02a5f6afe9697318f270b8404f72692,common_voice_en_19002757.mp3,The two halves were cut up and sunk at various locations.,2,0,twenties,male,United States English,,en,,usa,0.467988270004379
56134,279660,279660,280062,889708,55367d813b8219a384b69cee3a39f352378bbb19bdb6aaed922c60f00f560e2caeaf3edefa1c56daf5ed569153e69336652571239a56f8cec501487fc3c43e73,common_voice_en_25142645.mp3,The boxes were designed by Philippe Starck.,2,0,,,England English,,en,,uk,0.1847397710429457
148412,741054,741054,741714,1639318,b419faab633f2099c6405ff157b4d9fb5675219570f2683a4d08cbadeac4431e9d9b30dfa9b04f79aad9d8e3f75fda964809f3aa72ae9d0a4a025c59417f3dd1,common_voice_en_21112668.mp3,"The name is a reference to Jimi Hendrix's original band, The Jimi Hendrix Experience.",2,0,thirties,male,United States English,,en,,usa,0.467988270004379
76301,380290,380290,380950,1068222,ad18305eb8ef4812f11208a027ce49d5e99dcc37b6c0d66ba1fa37f62f00bd7fa6712b6437f2a19c4239cecf0d51ba1605363621ede74e7e59c758421fb3dd24,common_voice_en_586936.mp3,With that new haircut you look ridiculous.,2,0,teens,male,United States English,,en,,usa,0.467988270004379
15465,77586,77586,77700,411689,5e8e3112748f5f8f6a2f6ae2593e1d228a1b14233e2542fdd893c047549a8048339d7b3bad7c4115af11baf613491681008f9d119fa06b7ce00b5c55186817f5,common_voice_en_19113879.mp3,"Because of their peaceful and idyllic lives, it was very easy to overpower them.",2,0,teens,female,United States English,,en,,usa,0.467988270004379
149079,744316,744316,744976,1642783,b419faab633f2099c6405ff157b4d9fb5675219570f2683a4d08cbadeac4431e9d9b30dfa9b04f79aad9d8e3f75fda964809f3aa72ae9d0a4a025c59417f3dd1,common_voice_en_21759795.mp3,"Anderson and Company Limited, a lumber company.",2,0,thirties,male,United States English,,en,,usa,0.467988270004379
35389,176102,176102,176268,671128,7a3a314e38034b1ddf9b92cb93ebdc5652eed34600e925b23163c5a4a2ba1de9581b0efa594e69b5af292f6694238b1c50d65c0063af05a221eee6f7a29bed9d,common_voice_en_591867.mp3,What are you doing on this fine day?,2,0,thirties,male,Irish English,,en,,ireland,0.021774793786728
152639,762767,762767,763427,1665126,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_22382326.mp3,"Critics praised Hamblin; the ""Albion"" calling him ""a very excellent actor"".",4,0,fourties,male,"German English,Non native speaker",,en,,germany,0.0489600927369266
135475,676422,676422,677082,1546488,ab72e9ab22713aec03a3189202a0713e56016ea07569b3041fcd65d77c9eb3f8c692f7ccaec75c16bbc62476d528f434d829193994cf07fcde9e3b1e4a2fa93a,common_voice_en_18752340.mp3,Teams representing two of Malaysia's neighbouring countries have been involved in the competition.,2,0,sixties,male,United States English,,en,,usa,0.467988270004379
620,3155,3155,3169,45297,d690ad5a9926692f27e573513c842c517479dae543c86e3ab68e1bff80405187c08f2ce22c9e800f06673c4c2774e77c097013338d40cf425d8a5197f1f7e0aa,common_voice_en_28065832.mp3,A normal school department taught teachers.,2,0,thirties,male,United States English,,en,,usa,0.467988270004379
154107,770175,770175,770835,1674248,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_24356128.mp3,"They were, however, flimsy, and originals do not survive in large numbers.",4,0,fourties,male,"German English,Non native speaker",,en,,germany,0.0489600927369266
84671,422262,422262,422922,1140991,777b80baf475ddc3f2ea1ac95c3b73aad799e9e878a03b790bac7e597dbb6492e01cc0f3d90cc12a5ce03c4772ec435b0aecce1883b422634a6564a1b97062a0,common_voice_en_8476.mp3,It's not my house.,3,0,fourties,male,England English,,en,,uk,0.1847397710429457
14516,72688,72688,72802,397850,1bb6b2cf61f8958079d33fe8c871b2311c92a4e7420d29bd47afc87fe399c41285ce003ac8057bc63e91cfb50e3e5cb1f6ba2e43dc56cf13cf4714d5bb4029c2,common_voice_en_185935.mp3,Where you got him?,2,0,twenties,male,United States English,,en,,usa,0.467988270004379
12973,64895,64895,65009,370958,0d4895c706373555d65399f8ddb39ff33abf44ce68ed7634dc7df557ad583a488afa8147f787aece0966e906ed07b4a831348d7fecbcc5318f592a3b7d249e1e,common_voice_en_175068.mp3,"When he had completed the cleaning, he asked the man for something to eat.",3,0,fourties,female,Australian English,,en,,australia,0.0562383584134121
7269,36142,36142,36215,264505,249f963a2dd00a8e0d668c24d1e404aa44c8dea57795e56271259a33b589e94db18ce8c9e48d92976e691d20dd7a10a1edf0390ae97dcc34a7a49867bd20e03c,common_voice_en_17266433.mp3,"He always stutters when he's nervous, that's why he delegated the speech.",2,0,twenties,female,United States English,,en,,usa,0.467988270004379
126890,633085,633085,633745,1469419,ac6c32f959398d495a2bd3ff3a6d7b3dc0f9700ded23aef5f248bc799b3210e84b90cf8eaca63f0bd7caad7fd8d2f1914223a32a39085381242d0f0b0411ce5d,common_voice_en_18446611.mp3,"The carpet fitter laid the carpet, but forgot the underlay",2,0,sixties,male,England English,,en,,uk,0.1847397710429457
103682,517108,517108,517768,1294728,9d57aeaf822cf699a70f18cb334c05f1080d61026ca5846e228240d759ec9883ec9247705b74116fe5ffc25b2d5437ef83b60f3dbb8b601fdd3e5e78bc651e31,common_voice_en_17287055.mp3,"Arms, coat of arms.",2,0,thirties,male,United States English,,en,,usa,0.467988270004379
25874,128903,128903,129069,562415,9005135bd59b4ab1ec112a3f7dc3afbfbe1e7561f0594287aad1d2dbc79d9072e8311eb81a99ecc8475381532f683271d928bf063fac08fe8a8a3ff0415ee67f,common_voice_en_589500.mp3,"He arose and, taking up his crook, began to awaken the sheep that still slept.",3,0,thirties,female,United States English,,en,,usa,0.467988270004379
36223,180168,180168,180334,680914,3527ccaf8607bc0e4660348dfab72583c5c6dcfe78a913b34ffd7f9e644ba8ab1de0a7f9014b6a72805bc27fe6a33e2551a48968d6b8a5a852a576a5deece433,common_voice_en_18797752.mp3,Kabba people speak a dialect called Owe.,2,0,thirties,male,United States English,,en,,usa,0.467988270004379
30758,153236,153236,153402,620610,a049ea687a62414de9ec8b424d4a6d7a769d705f03e8044d0606485c5da2b66985f2478c1f14be18b27df133839f52c861236e568a2a63db4a0c8f612e2d9721,common_voice_en_143979.mp3,Wait till those two future jailbirds read the Morning Post tomorrow.,2,0,twenties,male,"Southern African (South Africa, Zimbabwe, Namibia)",,en,,"Southern African (South Africa, Zimbabwe, Namibia)",0.0097766985705184
30634,152585,152585,152751,619267,71ffc4867eb835c0139458d3cfde3679d56baceaf30b94e6ea7a0cfc42976c13036d42cd5ab76ff1a5778d3ecb95379f8c33c52ac785f25b78574acd7b445a27,common_voice_en_24870619.mp3,"He stated, Let it be a divorce tomorrow, but marriage it must be!",2,0,twenties,male,United States English,,en,,usa,0.467988270004379
119321,594967,594967,595627,1405515,a05406a5eba158bcb40734bd3ad652d38bdd7e8514c35a5e2111831e56084fb06df244b9dadd705142185c2fb74a0aa1e3429632930935e7809639f677105f61,common_voice_en_32115473.mp3,It runs into Baltic Sea.,4,0,twenties,female,United States English,,en,,usa,0.467988270004379
155900,779296,779296,779956,1685109,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_31473653.mp3,Nine more countries would send military observers to Russia.,4,0,fifties,male,"German English,Non native speaker",,en,,germany,0.0489600927369266
27560,137284,137284,137450,581687,c6ce200c5c834efcfe40bec59818b48c7de5734a00726863d7d46764693f29ac2c19540b27396938da4552ae0f0aed835d3d3fe77854eb15a7172065f7de2ab4,common_voice_en_20771151.mp3,"The Landrat calls the meetings, acts as speaker, and carries out the decisions made.",2,0,thirties,male,England English,,en,,uk,0.1847397710429457
